video,date,prefix,trial,bead_um,solute_pct,solute_type,eta_mPas,fps,n_segments,D_variance,D_var_err,D_gauss,D_gauss_err,D_msd,D_msd_err,D_var_raw,D_gauss_raw,D_msd_raw,D_noise,D_theory,D_mid,D_wall,F_mid,alpha,alpha_err,dev_pct
s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial2-tracker,2026-03-05,s2c,2,1.000000,20.086371,Glycerol,1.699004,29.000000,5,0.169635,0.010667,0.162311,0.010667,0.163472,0.005108,0.187670,0.180347,0.181508,0.018036,0.253679,0.250221,0.245778,0.986365,0.891890,0.049900,-34.002569
s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial3-tracker,2026-03-05,s2c,3,1.000000,20.086371,Glycerol,1.699004,29.000000,3,0.189265,0.011003,0.188158,0.011003,0.212397,0.007230,0.207300,0.206194,0.230433,0.018036,0.253679,0.250221,0.245778,0.986365,0.698343,0.049166,-21.426689
s3-3um-0_5p-3ul-water-396ul-gly-100ul-trial1-tracker,2026-03-05,s3,1,3.000000,20.161290,Glycerol,1.703025,29.000000,4,0.000000,0.000375,0.000000,0.000375,0.000000,0.000136,0.008866,0.009358,0.008253,0.018036,0.084356,0.080910,0.076517,0.959139,1.143304,0.004885,-100.000000
s3-3um-0_5p-3ul-water-396ul-gly-100ul-trial2-tracker,2026-03-05,s3,2,3.000000,20.161290,Glycerol,1.703025,29.000000,5,0.000000,0.000412,0.000000,0.000412,0.000000,0.000293,0.012201,0.012410,0.010561,0.018036,0.084356,0.080910,0.076517,0.959139,0.921055,0.010296,-100.000000
s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial1-tracker,2026-03-05,s7,1,3.000000,36.275695,Glycerol,3.042924,29.000000,3,0.000000,0.002988,0.000000,0.002988,0.003384,0.001387,0.015836,0.015174,0.021420,0.018036,0.047211,0.045282,0.042823,0.959139,1.246245,0.007993,-97.509066
s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial2-tracker,2026-03-05,s7,2,3.000000,36.275695,Glycerol,3.042924,29.000000,4,0.009007,0.003131,0.008680,0.003131,0.003300,0.000993,0.027043,0.026716,0.021336,0.018036,0.047211,0.045282,0.042823,0.959139,0.971016,0.012631,-84.550909
s7-3um-0_5p-3_8ul-water-316_2ul-gly-180ul-trial3-tracker,2026-03-05,s7,3,3.000000,36.275695,Glycerol,3.042924,29.000000,5,0.003867,0.003724,0.000349,0.003724,0.000000,0.000817,0.021903,0.018385,0.015913,0.018036,0.047211,0.045282,0.042823,0.959139,1.037096,0.034280,-96.896329
s8-3um-0_5p-3ul-water-397ul-ace-100ul-trial1-tracker,2026-03-05,s8,1,3.000000,20.120724,Acetone,0.818793,29.000000,2,0.007790,0.004275,0.004361,0.004275,0.000000,0.000546,0.025825,0.022396,0.007597,0.018036,0.175455,0.168285,0.159149,0.959139,0.348296,0.031129,-97.593339
s8-3um-0_5p-3ul-water-397ul-ace-100ul-trial2-tracker,2026-03-05,s8,2,3.000000,20.120724,Acetone,0.818793,29.000000,3,0.004208,0.001080,0.005403,0.001080,0.000000,0.000189,0.022244,0.023438,0.012045,0.018036,0.175455,0.168285,0.159149,0.959139,0.416362,0.016531,-98.096429
s9-3um-0_5p-24_0ul-water-1200ul-ace-800ul-trial1-tracker,2026-03-05,s9,1,3.000000,40.000000,Acetone,0.620000,29.000000,5,0.010007,0.005483,0.009245,0.005483,0.015325,0.002418,0.028042,0.027281,0.033361,0.018036,0.231695,0.222228,0.210163,0.959139,0.969444,0.009056,-94.813597
