Frame	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X10	Y10	Flag10	X13	Y13	Flag13	X14	Y14	Flag14	X17	Y17	Flag17	X18	Y18	Flag18	X2	Y2	Flag2	X9	Y9	Flag9	X12	Y12	Flag12	X16	Y16	Flag16	X20	Y20	Flag20	X21	Y21	Flag21	X1	Y1	Flag1	X8	Y8	Flag8	X11	Y11	Flag11	X15	Y15	Flag15	X19	Y19	Flag19
33	19.6780	167.0694	0	98.6863	180.2269	0	337.4222	220.5615	0	277.3425	285.1500	0	878.5824	414.5464	0	390.6421	511.8701	0	641.3417	592.8313	0	513.7614	685.4390	0	430.1841	719.2977	0	609.4877	840.9688	0	1142.4598	456.2828	0	1246.8427	541.5270	0	1283.3599	720.9799	0	711.2112	926.6957	0	1273.8200	0.8600	0	1264.5258	2.6806	0	1265.5667	2.0810	0	1135.1964	457.1260	0	1242.8036	533.8630	0	1284.7242	718.7305	0	707.6108	924.7996	0
34	19.3202	167.0126	0	98.2771	180.4008	0	337.9472	220.2224	0	277.3431	285.1378	0	878.8102	414.5630	0	391.0533	512.3441	0	641.3298	592.7917	0	513.7847	686.1676	0	430.6033	719.7147	0	609.1196	841.3027	0	1141.3608	456.5808	0	1246.8073	541.4385	0	1283.5972	721.3876	0	710.8866	926.7294	0	1273.1744	1.2209	0	1264.5687	2.4084	0	1266.1814	2.1460	0	1136.1184	456.4169	0	1243.4069	533.9207	0	1285.1277	718.4821	0	708.9285	924.1867	0
35	19.0182	168.1941	0	97.8629	180.2860	0	337.7097	219.5492	0	277.4404	285.0992	0	878.4436	414.3059	0	390.7646	512.8172	0	640.8740	593.1173	0	513.2669	686.0185	0	430.5292	719.4488	0	608.9124	840.8682	0	1142.1293	457.0930	0	1247.5600	542.3312	0	1283.5310	720.7484	0	710.4431	926.5444	0	1273.2433	1.6757	0	1264.5143	2.5429	0	1265.3031	2.3819	0	1136.0602	456.6101	0	1244.0953	533.8038	0	1285.2483	717.8987	0	709.0489	924.1012	0
36	19.1561	168.3975	0	97.6620	179.3994	0	337.9424	219.5000	0	277.4179	284.9662	0	878.1901	413.6218	0	390.5301	512.1964	0	640.9791	593.1165	0	513.3389	685.4853	0	430.6259	718.9510	0	608.6199	840.9941	0	1142.6480	457.7934	0	1248.3716	542.7197	0	1283.2998	720.3237	0	709.6735	925.9580	0	1272.5667	1.6333	0	1263.8820	2.5625	0	1265.7017	2.3235	0	1135.7028	456.2886	0	1244.6755	533.5092	0	1285.2341	718.1742	0	709.4260	923.6044	0
37	19.0024	168.6924	0	97.5105	179.9632	0	337.2760	219.3177	0	277.4557	284.8813	0	878.2436	413.0719	0	391.6604	511.6873	0	640.2817	592.9921	0	513.0069	685.4778	0	430.5879	719.4405	0	607.1465	841.0702	0	1142.5853	457.5256	0	1248.7040	541.7373	0	1283.2850	720.4464	0	709.9119	925.8801	0	1273.0581	1.2674	0	1263.6687	2.7750	0	1265.8966	2.1983	0	1135.5004	456.2141	0	1244.7875	533.4863	0	1284.7958	717.7146	0	708.9109	922.6561	0
38	18.9984	169.2998	0	97.6594	180.6639	0	337.7378	219.6321	0	277.4228	285.0046	0	878.8790	413.0106	0	391.4841	512.1920	0	639.9007	592.4728	0	512.6428	685.7782	0	430.2014	719.8956	0	606.2819	840.7814	0	1143.0249	457.4160	0	1248.4397	540.7041	0	1283.4965	719.8444	0	710.6437	925.7067	0	1273.8928	0.8929	0	1264.4078	2.6842	0	1266.1154	2.2179	0	1135.6450	456.7996	0	1244.4344	533.2087	0	1285.0095	718.5272	0	708.0483	922.7069	0
39	18.9230	168.8922	0	97.8344	180.4391	0	337.9207	220.2681	0	277.3698	285.0607	0	880.1844	412.3212	0	391.6055	512.7000	0	640.0275	591.9483	0	512.1322	686.0939	0	429.3243	720.1027	0	605.9915	840.6342	0	1142.5215	457.5238	0	1248.8508	540.3102	0	1283.6808	719.4970	0	710.5513	925.7678	0	1273.6177	0.7353	0	1264.8500	2.7563	0	1266.6705	2.3527	0	1136.6903	455.8203	0	1244.6577	532.9516	0	1285.4686	718.6114	0	707.5988	923.6885	0
40	18.8882	168.9430	0	97.2438	180.4552	0	337.8289	221.0569	0	277.3969	285.1971	0	880.6348	412.7458	0	391.3852	514.0478	0	639.5463	591.4475	0	511.8729	686.0620	0	428.7918	720.6957	0	605.9896	840.2326	0	1141.9400	457.2258	0	1249.3842	540.2467	0	1283.5349	719.5367	0	710.1641	925.6909	0	1274.9546	0.9848	0	1265.1316	2.9094	0	1267.0189	2.1509	0	1136.2738	455.5919	0	1244.9298	533.6509	0	1284.8423	718.1652	0	707.5981	924.7656	0
41	19.3160	168.3693	0	97.7234	179.8225	0	338.5388	221.0710	0	277.4804	284.9918	0	880.7636	412.6993	0	392.1011	513.5703	0	639.4296	591.9241	0	511.2423	686.2192	0	428.7143	720.6694	0	606.1779	839.4722	0	1142.7566	456.9433	0	1249.5543	540.5132	0	1283.0591	719.5630	0	710.4621	925.5930	0	1274.4143	1.0429	0	1265.0808	2.8413	0	1267.2273	2.0152	0	1136.3080	455.6442	0	1245.6593	533.8512	0	1284.9226	718.2447	0	708.5520	924.1404	0
42	19.5341	167.6775	0	98.0948	179.3955	0	339.1293	221.2260	0	277.5009	284.8487	0	881.7373	412.1749	0	391.3052	513.3037	0	639.8644	591.8235	0	512.1184	686.5562	0	428.5310	720.5783	0	605.4967	839.2289	0	1142.7185	456.1359	0	1250.0181	540.7327	0	1282.8743	719.4512	0	710.7461	925.2427	0	1273.7188	1.0000	0	1266.3286	2.9286	0	1268.1588	1.8176	0	1136.6747	455.7558	0	1245.4839	534.2035	0	1285.4089	718.0340	0	708.5972	923.3317	0
