Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	839.53462	784.33942	 	103.21448	292.02204	 	127.09713	272.30689	 	 	 	 	 	 	 	 	 	 
54	 	 	 	 	 	 	 	 	 	841.20139	785.44625	*	 	 	 	837.50160	786.58763	 	102.50107	292.79096	 	125.75019	272.37237	 	 	 	 	 	 	 	 	 	 
55	 	 	 	 	 	 	 	 	 	 	 	 	109.63365	293.12444	*	837.61502	787.19709	 	94.12871	291.76092	 	126.03268	272.93994	 	 	 	 	 	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	838.10329	769.42242	*	 	 	 	838.20656	787.45278	 	99.46326	286.35848	 	126.36337	273.46825	 	 	 	 	 	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	 	 	 	105.20601	279.15386	*	838.18364	786.95694	 	94.47628	290.67508	 	126.86526	273.69722	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.17791	284.77543	 	126.57122	273.87756	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.52766	289.42523	 	124.33184	272.97694	 	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.56945	289.56160	 	124.16819	273.06209	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.21330	288.06799	 	125.05061	273.54942	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	98.83862	288.27186	 	124.28335	274.21474	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.68016	286.50501	 	126.67540	273.41667	 	 	 	 	 	 	 	 	 	 
64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	103.64104	293.24787	 	126.22943	272.37234	 	 	 	 	 	 	 	 	 	 
65	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	104.05745	293.80980	*	125.55884	272.35641	*	 	 	 	 	 	 	 	 	 
67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	105.46486	295.27295	 	123.08974	270.40983	 	 	 	 	 	 	 	 	 	 
68	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	103.76924	295.26725	 	122.43824	270.45374	 	 	 	 	 	 	 	 	 	 
69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	103.84913	296.01114	 	121.40730	270.65669	 	 	 	 	 	 	 	 	 	 
70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	103.60558	296.30042	 	121.00224	270.86871	 	 	 	 	 	 	 	 	 	 
71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	100.96041	295.27070	 	121.58620	272.26673	 	 	 	 	 	 	 	 	 	 
72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	101.49568	296.23212	 	119.77906	275.33090	 	 	 	 	 	 	 	 	 	 
73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	103.96636	297.28424	 	119.76135	271.09796	 	 	 	 	 	 	 	 	 	 
74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	104.41948	296.66852	 	120.47141	273.85086	 	 	 	 	 	 	 	 	 	 
75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	100.53790	295.64570	 	121.02751	272.52179	 	 	 	 	 	 	 	 	 	 
76	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	99.70757	294.98205	 	119.80232	275.93263	 	 	 	 	 	 	 	 	 	 
77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	102.40866	297.16533	*	119.77429	271.83695	*	 	 	 	 	 	 	 	 	 
